animal,measurement,feed_type,side,measurement_type
NA,63.8,pargyline,NA,sucrose_consumption
NA,51.5,pargyline,NA,sucrose_consumption
NA,39.9,pargyline,NA,sucrose_consumption
NA,59.4,pargyline,NA,sucrose_consumption
NA,47.8,pargyline,NA,sucrose_consumption
NA,43.9,pargyline,NA,sucrose_consumption
NA,58.3,pargyline,NA,sucrose_consumption
NA,54,pargyline,NA,sucrose_consumption
NA,33.9,pargyline,NA,sucrose_consumption
NA,42.5,pargyline,NA,sucrose_consumption
NA,54,pargyline,NA,sucrose_consumption
NA,25.2,pargyline,NA,sucrose_consumption
NA,27.3,pargyline,NA,sucrose_consumption
NA,36.3,pargyline,NA,sucrose_consumption
NA,52.2,pargyline,NA,sucrose_consumption
NA,35.9,pargyline,NA,sucrose_consumption
NA,59.3,pargyline,NA,sucrose_consumption
NA,61.7,pargyline,NA,sucrose_consumption
NA,35.9,pargyline,NA,sucrose_consumption
NA,36.9,pargyline,NA,sucrose_consumption
NA,22.9,pargyline,NA,sucrose_consumption
NA,51.5,pargyline,NA,sucrose_consumption
NA,71.6,pargyline,NA,sucrose_consumption
NA,52,pargyline,NA,sucrose_consumption
NA,64.7,pargyline,NA,sucrose_consumption
NA,41.6,pargyline,NA,sucrose_consumption
NA,50.6,pargyline,NA,sucrose_consumption
NA,39.7,pargyline,NA,sucrose_consumption
NA,69.8,pargyline,NA,sucrose_consumption
NA,46.7,pargyline,NA,sucrose_consumption
NA,40,pargyline,NA,sucrose_consumption
NA,34.1,pargyline,NA,sucrose_consumption
NA,27.7,pargyline,NA,sucrose_consumption
NA,46.5,pargyline,NA,sucrose_consumption
NA,13.9,pargyline,NA,sucrose_consumption
NA,36.1,pargyline,NA,sucrose_consumption
NA,29.9,pargyline,NA,sucrose_consumption
NA,54.1,pargyline,NA,sucrose_consumption
NA,35.8,pargyline,NA,sucrose_consumption
NA,52.8,pargyline,NA,sucrose_consumption
NA,50.3,pargyline,NA,sucrose_consumption
NA,42.2,pargyline,NA,sucrose_consumption
NA,48.9,pargyline,NA,sucrose_consumption
NA,54.8,pargyline,NA,sucrose_consumption
NA,56.9,pargyline,NA,sucrose_consumption
NA,35.1,pargyline,NA,sucrose_consumption
NA,52,pargyline,NA,sucrose_consumption
NA,51,pargyline,NA,sucrose_consumption
NA,53,pargyline,NA,sucrose_consumption
NA,60.2,pargyline,NA,sucrose_consumption
NA,57.2,pargyline,NA,sucrose_consumption
NA,48.3,pargyline,NA,sucrose_consumption
NA,47.4,pargyline,NA,sucrose_consumption
NA,84.3,pargyline,NA,sucrose_consumption
NA,44.7,pargyline,NA,sucrose_consumption
NA,52.5,pargyline,NA,sucrose_consumption
NA,36.8,pargyline,NA,sucrose_consumption
NA,55.3,pargyline,NA,sucrose_consumption
NA,53,pargyline,NA,sucrose_consumption
NA,59.2,pargyline,NA,sucrose_consumption
NA,58,pargyline,NA,sucrose_consumption
NA,35.9,pargyline,NA,sucrose_consumption
NA,57.4,pargyline,NA,sucrose_consumption
NA,44.5,pargyline,NA,sucrose_consumption
NA,51.1,pargyline,NA,sucrose_consumption
NA,47,pargyline,NA,sucrose_consumption
NA,54.5,pargyline,NA,sucrose_consumption
NA,13.1,pargyline,NA,sucrose_consumption
NA,4.4,saline_two,NA,sucrose_consumption
NA,21.1,saline_two,NA,sucrose_consumption
NA,20.7,saline_two,NA,sucrose_consumption
NA,19.8,saline_two,NA,sucrose_consumption
NA,16.2,saline_two,NA,sucrose_consumption
NA,19,saline_two,NA,sucrose_consumption
NA,22,saline_two,NA,sucrose_consumption
NA,18.8,saline_two,NA,sucrose_consumption
NA,15.9,saline_two,NA,sucrose_consumption
NA,8.2,saline_two,NA,sucrose_consumption
NA,18.6,saline_two,NA,sucrose_consumption
NA,18.1,saline_two,NA,sucrose_consumption
NA,15,saline_two,NA,sucrose_consumption
NA,20.1,saline_two,NA,sucrose_consumption
